recipe_title,total_ingredients,missing_ingredients_count,missing_percentage,missing_ingredients_list
Best Chicken Kottu Roti Recipe | Sri Lankan Kothu Parotta Homemade,26,9,34.6,"-----, cardamom - 4, crushed cinnamon - ½ tablespoon, eggs - 10, ginger paste - ½ tablespoon, mustard seeds - ½ teaspoon, parotta/paratha roti - 20, water - 500ml"
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,19,9,47.4,"-----, cornstarch - 2 tablespoons, ginger paste - ½ teaspoon, semi thick tamarind juice - 2 tablespoons, shrimp/prawn - 250g after clean, water - 100ml, water - 150ml"
Spicy Chicken Thick Gravy Recipe without Coconut Milk (KETO),21,9,42.9,"-----, cardamom - 5, coriander seeds - 1 tablespoon, crushed cinnamon - 1 tablespoon, cumin seeds - ¼ tablespoon, ginger paste - ¾ tablespoon, mustard seeds - ½ teaspoon, water - 150ml"
How To Make Jaffna Odiyal Kool At Home (Spicy Seafood Soup),14,8,57.1,"brown rice - 100g, crab - 500g, cuttlefish/squid - 250g, jackfruit seeds - 200g, prawn/shrimp - 250g, tapioca - 350g, thin tamarind juice - 600ml, water - 2000ml"
Best Milkmaid Rava Laddu Recipe without Coconut,11,7,63.6,"cardamom - 2, ghee - 4 teaspoons, nutmeg - ½, raisins - 40g, rava/semolina - 400g, vanilla - 3 teaspoons, warm water - 50ml"
Sri Lankan Style Fish Patties Recipe with Potatoes(Deep Fry),24,7,29.2,"-----, cold water - 250ml, mustard seeds - ½ teaspoon, patties cutter, water - 100ml"
Make Best Nescafe Cake Recipe | Easy | Homemade,14,7,50.0,"-----, hot water - 1 tablespoon, hot water - 2 tablespoons, nescafe - 1 ½ teaspoon, vanilla extract - 3 teaspoons"
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,17,6,35.3,"coriander seeds - 1 tablespoon, cumin seeds - ¼ teaspoon, fenugreek seeds - ¼ teaspoon, mustard seeds - ¼ teaspoon, thick tamarind juice - 150ml, water - 550ml to 650ml"
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,17,5,29.4,"cardamom - 3 to 5, coriander seeds - ½ teaspoon, crushed cinnamon - ¾ teaspoon, cumin seeds - ¼ teaspoon, mustard seeds - ¼ teaspoon"
Simple & Fresh Fruit Salad Recipe without Honey,9,5,55.6,"banana - 300g, mango - 500g, papaya - 500g, raisins - 50g, rose essence - ½ teaspoon"
Make Aracha Meen Kulambu Recipe (Healthy Fish Curry),14,5,35.7,"coriander seeds - 1 tablespoon, cumin seeds - ½ tablespoon, fenugreek seeds - ¼ teaspoon, shallots - 12 to 15, tamarind juice - 50ml"
Sri Lankan Style Squid Curry | Spicy Cuttlefish Recipe,14,5,35.7,"crushed ginger - ½ teaspoon, fenugreek seeds - ½ teaspoon, mustard seeds - ¼ teaspoon, squid/cuttlefish - 400g, thick tamarind juice - 50ml"
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,14,5,35.7,"cardamom - 4, crushed cinnamon - ½ tablespoon, ginger paste - ½ tablespoon, mustard seeds - ½ teaspoon, water - 500ml"
Shredded Chicken Fried Noodles with Vegetables Recipe,15,5,33.3,"cabbage - 75g, cardamom - 3 to 5, crushed cinnamon - ¾ teaspoon, ginger paste - ¼ teaspoon, noodles - 400g"
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),14,5,35.7,"coriander seeds - 1 tablespoon, cumin seeds - 1 ½ teaspoons, ingredients, thin tamarind juice - 350ml, water - 350ml"
Easy Chicken Spring Roll Recipe Step by Step with Pictures,15,5,33.3,"cardamom - 3 or 4, crushed cinnamon - ¾ teaspoon, mustard seeds - ¼ teaspoon, spring roll paper - 40 sheets, water - 100ml"
How to Make Apple Toffee | Unique Sri Lankan Sweet,9,5,55.6,"cardamom - 1 ½ teaspoon, cloves - 100, food coloring - 1 teaspoon, vanilla extract - 1 tablespoon, water - 12 tablespoons"
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),17,5,29.4,"=====, breadcrumbs - 250g, ginger - 1 tablespoon, water - 1750ml"
Vegetable Kurakkan Noodles Recipe (Finger Millet),13,5,38.5,"cabbage - 70g, crushed ginger - ¼ tablespoon, kurakkan noodles - 1 packet 400g, maggi vegetable stock cube - 1 tablespoon, mustard seeds - ½ teaspoon"
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,18,5,27.8,"basmati rice - 350g, cardamom - 6 to 8, coriander seeds - 1 teaspoon, crushed cinnamon - ½ tablespoon, cumin seeds - ½ teaspoon"
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,13,5,38.5,"crushed cardamom - 2 to 4, crushed cinnamon - ½ teaspoon, eggplant - 350g, ginger paste - ¼ teaspoon, very thick tamarind juice - 2 tablespoons"
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,16,5,31.2,"cardamom - 6 to 8, coriander seeds - 1 ½ tablespoon, crushed cinnamon - ¾ tablespoon, cumin seeds - ½ teaspoon, ginger paste - 1 teaspoon"
Tasty Chicken Samosa Recipe with Step by Step Pics | Homemade,15,5,33.3,"cardamom - 3 or 4, crushed cinnamon - ¾ teaspoon, mustard seeds - ¼ teaspoon, spring roll paper - 20 sheets, water - 100ml"
Spicy Dried Sprats Curry Recipe | Nethili Karuvadu Kuzhambu,14,4,28.6,"fenugreek seeds - ¼ teaspoon, mustard seeds - ¼ teaspoon, sprats - 50g, thin tamarind juice - 50ml"
How To Make Sri Lankan Dosa Recipe | Jaffna Style Dosa Quick & Easy,8,4,50.0,"basmati rice - 50g, fenugreek seeds - ½ teaspoon, split skinned black gram/urad dal - 150g, water - 350ml"
Best Milkmaid Caramel Pudding Recipe With Eggs | Sri Lankan Homemade,6,4,66.7,"eggs - 2, lukewarm water - 125ml, vanilla essence - 1 teaspoon, water - 3 teaspoons"
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),15,4,26.7,"bay leaf - 1, chickpea - 250g, clove - 3 or 4, water - 300ml"
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,16,4,25.0,"eggplant - 400g, fenugreek seeds - ½ teaspoon, mustard seeds - ½ teaspoon, thin tamarind juice - 200ml"
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),14,4,28.6,"-----, vanilla extract - 3 teaspoons, water - 1 tablespoon"
"Best Chicken Fried Rice Recipe without Egg, Peas, & Soy Sauce",14,4,28.6,"basmati rice - 400g, cinnamon - 4 to 6, crushed cardamom - ½ teaspoon, ginger paste - ¼ teaspoon"
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,13,4,30.8,"cabbage - 75g, ginger paste - 1 teaspoon, noodle - 400g, prawn/shrimp - 300g after clean"
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,13,4,30.8,"cumin seeds - 2 pinches, dal/dhal/parippu - 150g, mustard seeds - ¼ teaspoon, water 400ml"
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,15,4,26.7,"cumin seeds - ¼ teaspoon, fenugreek seeds - ½ teaspoon, mustard seeds - ¼ teaspoon, thin tamarind juice - 150ml"
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,11,4,36.4,"mustard seeds - ¼ teaspoon, split skinned black gram/urad dal - 1 teaspoon, very thick tamarind juice - 1 ½ teaspoons, water - 100ml"
