recipe_title,calories,included_tokens
Sri Lankan Fish Ambul Thiyal,10030.0,1 pcs /4cupgarcinia cambogia paste | 5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh grated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup garcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,3180.0,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,4765.5,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
Sri Lankan Fish Ambul Thiyal,4765.5,0.25 cup g arcinia cambogia paste | 1.5 l bTuna fish
The Best Sri Lankan Coconut Roti,3340.9,3.5 cup fresh g rated coconut | 3.5 cup all purpose flour | 0.5 tbsp butter | 0.67 tbsp thinly sliced shallot/onion
