title,servings,estimated_cost_lkr,price_freshness_days,matched_ingredients,total_ingredients,match_percentage,low_confidence,skipped_reason,top_cost_contributors,is_main_dish,cost_per_100kcal,calories
Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,2,0.0,0,0,0,0.0,True,,,False,,
Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),4,0.0,0,0,0,0.0,True,,,False,,
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),3,0.0,0,0,0,0.0,True,,,True,,
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),5,0.0,0,0,0,0.0,True,,,False,,
Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,5,0.0,0,0,0,0.0,True,,,False,,
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,6,0.0,0,0,0,0.0,True,,,True,,
How to Make Onion Achcharu in Jaffna? (Best & Simple),1,0.0,0,0,0,0.0,True,,,False,,
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),4,0.0,0,0,0,0.0,True,,,False,,
Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),2,0.0,0,0,0,0.0,True,,,True,,
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,8,0.0,0,0,0,0.0,True,,,True,,
Green Chilli Coconut Sambal (Pol Sambol) Recipe | KETO,4,0.0,0,0,0,0.0,True,,,False,,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),35,0.0,0,0,0,0.0,True,,,False,,
How to Make Apple Toffee | Unique Sri Lankan Sweet,75,0.0,0,0,0,0.0,True,,,False,,
Simple Spring Onion Flower Recipe | Vengaya Thal Poo Varai,3,0.0,0,0,0,0.0,True,,,False,,
Sri Lankan Fish Sothi with Mango Recipe | Meen Sothi,2,0.0,0,0,0,0.0,True,,,False,,
Ammikallu Red Coconut Sambol | Jaffna Traditional Pol Sambal,2,0.0,0,0,0,0.0,True,,,False,,
Green Bean Coconut Milk Curry | Sri Lankan Bonchi Recipe,2,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Cabbage Potato Curry Recipe with Coconut Milk,8,0.0,0,0,0,0.0,True,,,True,,
Best Bitter Gourd Sambol Recipe | Pavakkai/Karawila Fried Salad,6,0.0,0,0,0,0.0,True,,,False,,
Sri Lankan Cassava Curry with Coconut Milk Recipe,6,0.0,0,0,0,0.0,True,,,True,,
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,3,0.0,0,0,0,0.0,True,,,False,,
Best Sambar Recipe without Sambar Powder & Coconut Milk,6,0.0,0,0,0,0.0,True,,,False,,
Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Style Fish Cutlet Recipe | Step by Step with Pictures,20,0.0,0,0,0,0.0,True,,,False,,
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,28,0.0,0,0,0,0.0,True,,,False,,
Make Jaffna Ash Plantain Curry Recipe | Vazhakkai Paal Curry,3,0.0,0,0,0,0.0,True,,,True,,
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,5,0.0,0,0,0,0.0,True,,,True,,
Easy Tomato Chutney Recipe for Dosa/Idli/Chapati/Paratha,3,0.0,0,0,0,0.0,True,,,False,,
Make Fish Samosa Recipe Without Peas (Easy & Tasty),30,0.0,0,0,0,0.0,True,,,False,,
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,4,0.0,0,0,0,0.0,True,,,True,,
Make Mixed Vegetable Roti Recipe (Easy | Tasty | Vegan),15,0.0,0,0,0,0.0,True,,,True,,
Easy Beetroot Curry Recipe for Rice with Pics (Non-Spicy),3,0.0,0,0,0,0.0,True,,,True,,
Make Snake Gourd Curry with Milk for Rice (Easy & Tasty),3,0.0,0,0,0,0.0,True,,,True,,
Make Vegetable Fried Rice without Soy Sauce & Egg,4,0.0,0,0,0,0.0,True,,,True,,
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,3,0.0,0,0,0,0.0,True,,,False,,
Drumstick Leaves Stir Fry | Moringa Leaf Coconut Recipe,2,0.0,0,0,0,0.0,True,,,False,,
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,3,0.0,0,0,0,0.0,True,,,True,,
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,4,0.0,0,0,0,0.0,True,,,True,,
Pennywort Salad Recipe with Carrot | Gotu Kola/Vallarai Sambal,4,0.0,0,0,0,0.0,True,,,False,,
Simple Bitter Gourd Recipe Curry for Rice | Pavakkai Kulambu,2,0.0,0,0,0,0.0,True,,,True,,
Ponnanganni Keerai Varai With Grated Coconut | Alternanthera Sessilis Recipe,2,0.0,0,0,0,0.0,True,,,False,,
Tasty & Spicy Beef Curry Recipe with Coconut & Tomato (KETO),6,0.0,0,0,0,0.0,True,,,True,,
Vegetable Kurakkan Noodles Recipe (Finger Millet),5,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,4,0.0,0,0,0,0.0,True,,,True,,
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,3,0.0,0,0,0,0.0,True,,,False,,
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),4,0.0,0,0,0,0.0,True,,,False,,
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,3,0.0,0,0,0,0.0,True,,,True,,
How to Make Vegetable Rava Upma | Easy & Healthy Breakfast,2,0.0,0,0,0,0.0,True,,,False,,
Spicy Banana Pepper Curry Recipe | Kari Milagai Puli Kuzhambu,2,0.0,0,0,0,0.0,True,,,True,,
How To Make Tapioca Curry Spicy (Cassava/Manioc/Maravalli Kizhangu),4,0.0,0,0,0,0.0,True,,,True,,
Okra Tomato Coconut Curry | Easy Lady’s Finger Milk Curry Recipe,3,0.0,0,0,0,0.0,True,,,True,,
Easy Fish Head Curry Spicy Recipe without Oil,4,0.0,0,0,0,0.0,True,,,True,,
Radish Curry Sri Lankan Recipe | Mullangi Curry for Rice,3,0.0,0,0,0,0.0,True,,,True,,
Easy Idli Dosa Batter (How To Make Idli & Dosa With Same Batter Homemade),60,0.0,0,0,0,0.0,True,,,False,,
Carrot Tomato Onion Salad | Easy Carrot Sambol Recipe,4,0.0,0,0,0,0.0,True,,,False,,
Green Moong Dal Recipe With Coconut | Green Gram Curry For Chapathi (Payaru),2,0.0,0,0,0,0.0,True,,,True,,
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,3,0.0,0,0,0,0.0,True,,,True,,
Easy Coconut Sambal Recipe | Fresh Pol Sambol with Red Chili,2,0.0,0,0,0,0.0,True,,,False,,
Easy Carrot Curry Recipe for Rice with Coconut Milk,3,0.0,0,0,0,0.0,True,,,True,,
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),20,0.0,0,0,0,0.0,True,,,False,,
Spicy Eggplant Tomato Curry Coconut Milk | KETO,3,0.0,0,0,0,0.0,True,,,True,,
Make Potato Curry for Poori/Chapati Sri Lankan Style,3,0.0,0,0,0,0.0,True,,,True,,
Healthy Fish Curry without Oil & Red Chili | Easy Recipe,4,0.0,0,0,0,0.0,True,,,True,,
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,4,0.0,0,0,0,0.0,True,,,False,,
How to Make Beef Pepper Fry Recipe | KETO | Easy,3,0.0,0,0,0,0.0,True,,,False,,
Eggplant Plantain Curry Recipe (Brinjal + Ash Plantain Milk Curry),2,0.0,0,0,0,0.0,True,,,True,,
Spicy Elephant Foot Yam Curry Recipe | Karunai Kizhangu,4,0.0,0,0,0,0.0,True,,,True,,
Make Simple Banana Flower Recipe | Vazhaipoo Fry | KETO,5,0.0,0,0,0,0.0,True,,,False,,
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,4,0.0,0,0,0,0.0,True,,,True,,
Unique Ash Plantain Fry Dish | Vazhakkai Sambal | Jaffna,4,0.0,0,0,0,0.0,True,,,False,,
Make Seeni Sambol Recipe | Sri Lankan | Quick & Easy,3,0.0,0,0,0,0.0,True,,,False,,
Simple Cabbage Stir Fry Recipe with Coconut Step by Step,3,0.0,0,0,0,0.0,True,,,False,,
Fenugreek Seed Curry Recipe | Vendhaya Kuzhambu with Coconut,2,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,3,0.0,0,0,0,0.0,True,,,True,,
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,4,0.0,0,0,0,0.0,True,,,False,,
Easy Sri Lankan Roasted Curry Powder Recipe Homemade,1,0.0,0,0,0,0.0,True,,,True,,
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",8,0.0,0,0,0,0.0,True,,,True,,
Best Masala Dosa Filling Recipe | Spicy | Homemade,2,0.0,0,0,0,0.0,True,,,False,,
Simple Nutella Brownie Recipe with 4 Ingredients (No Butter),16,0.0,0,0,0,0.0,True,,,False,,
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,3,0.0,0,0,0,0.0,True,,,True,,
Make Drumstick Coconut Curry Recipe | Murungakkai Paal Curry,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spinach Curry Recipe | Keerai Curry | KETO,8,0.0,0,0,0,0.0,True,,,True,,
